pod	metric	value
otelcol-vrev1-ctr-wv9c6	otelcol_process_uptime	341
otelcol-vrev1-ctr-wv9c6	otelcol_processor_incoming_items	281903
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_batch_send_size_sum	281903
otelcol-vrev1-ctr-wv9c6	otelcol_processor_outgoing_items	281903
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_batch_send_size_sum	281903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_total_alloc_bytes	729686560
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_accepted_spans	281903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_heap_alloc_bytes	60927256
otelcol-vrev1-ctr-wv9c6	otelcol_process_cpu_seconds	13
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_processor_accepted_spans	281903
otelcol-vrev1-ctr-wv9c6	otelcol_process_runtime_total_sys_memory_bytes	147437864
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-wv9c6	otelcol_processor_batch_timeout_trigger_send	969
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_sent_spans	281903
otelcol-vrev1-ctr-wv9c6	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-wv9c6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-wv9c6	otelcol_process_memory_rss	235118592
otelcol-vrev1-ctr-whm44	otelcol_process_runtime_total_sys_memory_bytes	104925464
otelcol-vrev1-ctr-whm44	otelcol_processor_incoming_items	167267
otelcol-vrev1-ctr-whm44	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-whm44	otelcol_process_runtime_heap_alloc_bytes	33897864
otelcol-vrev1-ctr-whm44	otelcol_processor_batch_timeout_trigger_send	960
otelcol-vrev1-ctr-whm44	otelcol_processor_outgoing_items	167267
