phase	pod	status	restarts	node
pre_steady	composepost-service-vrev1-ctr-7776bbb96d-5th7m	Running	0	node-1
pre_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-jjbjn	Running	0	node-1
pre_steady	hometimeline-service-vrev1-ctr-6c9775f485-xftng	Running	0	node-1
pre_steady	jaeger-vrev1-ctr-b54554db8-mlf8q	Running	0	node-9
pre_steady	media-service-vrev1-ctr-b876c4f6d-mjvwf	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-5hnjs	Running	0	node-1
pre_steady	otelcol-vrev1-ctr-c59ws	Running	0	node-9
pre_steady	otelcol-vrev1-ctr-mxs2r	Running	0	node-8
pre_steady	otelcol-vrev1-ctr-n8gg4	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-nbfqj	Running	0	node-4
pre_steady	otelcol-vrev1-ctr-t96zb	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-vjsm9	Running	0	node-7
pre_steady	otelcol-vrev1-ctr-whm44	Running	0	node-6
pre_steady	otelcol-vrev1-ctr-wv9c6	Running	0	node-2
pre_steady	post-cache-vrev1-ctr-b9dc74888-64lcp	Running	0	node-6
pre_steady	post-db-vrev1-ctr-6c6dbb6df5-8d69x	Running	0	node-6
pre_steady	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	Running	0	node-6
pre_steady	social-cache-vrev1-ctr-76d6bdc48f-vxzg4	Running	0	node-2
pre_steady	social-db-vrev1-ctr-6b88bf776d-gqbwc	Running	0	node-2
pre_steady	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	Running	0	node-2
pre_steady	text-service-vrev1-ctr-77bb8c98dc-6vfcp	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-4842t	Running	0	node-7
pre_steady	tracepressure-service-vrev1-ctr-62hrr	Running	0	node-4
pre_steady	tracepressure-service-vrev1-ctr-fw4l8	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-g74gm	Running	0	node-9
pre_steady	tracepressure-service-vrev1-ctr-hfqcx	Running	0	node-1
pre_steady	tracepressure-service-vrev1-ctr-l8bpp	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-nfkst	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-r7gvl	Running	0	node-2
pre_steady	tracepressure-service-vrev1-ctr-x25lg	Running	0	node-8
pre_steady	uniqueid-service-vrev1-ctr-77747957b4-rvq7v	Running	0	node-3
pre_steady	urlshorten-db-vrev1-ctr-78c9f5d5fb-mxnp8	Running	0	node-7
pre_steady	urlshorten-service-vrev1-ctr-54fb6466f7-z2z4k	Running	0	node-7
pre_steady	user-cache-vrev1-ctr-59444c4559-s46kq	Running	0	node-8
pre_steady	user-db-vrev1-ctr-5dbc47b8cb-q7wl5	Running	0	node-8
pre_steady	user-service-vrev1-ctr-788cc57598-bflm7	Running	0	node-8
pre_steady	userid-service-vrev1-ctr-6455446bc4-rdqtq	Running	0	node-5
pre_steady	usermention-service-vrev1-ctr-dc6fd6ddc-b75js	Running	0	node-3
pre_steady	usertimeline-cache-vrev1-ctr-5ff57cc464-hzphg	Running	0	node-4
pre_steady	usertimeline-db-vrev1-ctr-8699f86cf5-w48j4	Running	0	node-4
pre_steady	usertimeline-service-vrev1-ctr-64494fbc5f-crxmm	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-5dm2d	Running	0	node-6
pre_steady	wrk2api-service-vrev1-ctr-8qdch	Running	0	node-2
pre_steady	wrk2api-service-vrev1-ctr-b7pj5	Running	0	node-1
pre_steady	wrk2api-service-vrev1-ctr-c4qbt	Running	0	node-9
pre_steady	wrk2api-service-vrev1-ctr-dmft2	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-dwjwn	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-j2fxw	Running	0	node-5
pre_steady	wrk2api-service-vrev1-ctr-rsxj7	Running	0	node-8
pre_steady	wrk2api-service-vrev1-ctr-sd69q	Running	0	node-3
post_steady	composepost-service-vrev1-ctr-7776bbb96d-5th7m	Running	0	node-1
post_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-jjbjn	Running	0	node-1
post_steady	hometimeline-service-vrev1-ctr-6c9775f485-xftng	Running	0	node-1
post_steady	jaeger-vrev1-ctr-b54554db8-mlf8q	Running	0	node-9
post_steady	media-service-vrev1-ctr-b876c4f6d-mjvwf	Running	0	node-5
post_steady	otelcol-vrev1-ctr-5hnjs	Running	0	node-1
post_steady	otelcol-vrev1-ctr-c59ws	Running	0	node-9
post_steady	otelcol-vrev1-ctr-mxs2r	Running	0	node-8
post_steady	otelcol-vrev1-ctr-n8gg4	Running	0	node-3
post_steady	otelcol-vrev1-ctr-nbfqj	Running	0	node-4
post_steady	otelcol-vrev1-ctr-t96zb	Running	0	node-5
post_steady	otelcol-vrev1-ctr-vjsm9	Running	0	node-7
