service	pod	key	value
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	spans_received	37275
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	spans_flushed	37275
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	spans_sent	37275
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	batches_sent	3668
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	spans_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	batches_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	send_deadline	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	send_unavailable	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	send_exhausted	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	send_canceled	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	send_other	0
wrk2api	wrk2api-service-vrev1-ctr-5dm2d	buffer_depth	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	spans_received	1039999
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	spans_flushed	1039999
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	spans_sent	166331
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	batches_sent	8377
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	spans_dropped	755332
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	batches_dropped	3773
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	send_deadline	3393
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	send_unavailable	380
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	send_exhausted	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	send_canceled	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	send_other	0
composepost	composepost-service-vrev1-ctr-7776bbb96d-5th7m	buffer_depth	0
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	spans_received	259984
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	spans_flushed	259984
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	spans_sent	91344
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	batches_sent	2342
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	spans_dropped	156248
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	batches_dropped	782
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	send_deadline	24
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	send_unavailable	758
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	send_exhausted	0
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	send_canceled	0
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	send_other	0
hometimeline	hometimeline-service-vrev1-ctr-6c9775f485-xftng	buffer_depth	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	spans_received	130001
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	spans_flushed	130001
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	spans_sent	130001
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	batches_sent	1593
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	spans_dropped	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	batches_dropped	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	send_deadline	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	send_unavailable	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	send_exhausted	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	send_canceled	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	send_other	0
media	media-service-vrev1-ctr-b876c4f6d-mjvwf	buffer_depth	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	spans_received	129992
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	spans_flushed	129992
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	spans_sent	129992
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	batches_sent	1593
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	spans_dropped	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	batches_dropped	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	send_deadline	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	send_unavailable	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	send_exhausted	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	send_canceled	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	send_other	0
post-storage	post-storage-service-vrev1-ctr-959f4ff7-rxmrw	buffer_depth	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	spans_received	243826
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	spans_flushed	243826
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	spans_sent	243826
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	batches_sent	2096
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	spans_dropped	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	batches_dropped	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	send_deadline	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	send_unavailable	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	send_exhausted	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	send_canceled	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	send_other	0
socialgraph	socialgraph-service-vrev1-ctr-6fd7c8d78-rbsd2	buffer_depth	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	spans_received	390021
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	spans_flushed	390021
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	spans_sent	390021
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	batches_sent	4782
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	spans_dropped	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	batches_dropped	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	send_deadline	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	send_unavailable	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	send_exhausted	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	send_canceled	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	send_other	0
text	text-service-vrev1-ctr-77bb8c98dc-6vfcp	buffer_depth	0
uniqueid	uniqueid-service-vrev1-ctr-77747957b4-rvq7v	spans_received	130001
