pod	metric	value
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_send_failed_spans	471765
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_total_sys_memory_bytes	266864952
otelcol-vrev1-ctr-qsvqq	otelcol_process_memory_rss	297717760
otelcol-vrev1-ctr-qsvqq	otelcol_processor_outgoing_items	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_batch_send_size_sum	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_accepted_spans	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_total_alloc_bytes	41631131240
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_batch_send_size_sum	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-qsvqq	otelcol_processor_accepted_spans	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_timeout_trigger_send	5425
otelcol-vrev1-ctr-qsvqq	otelcol_process_uptime	1559
otelcol-vrev1-ctr-qsvqq	otelcol_processor_incoming_items	15873545
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_heap_alloc_bytes	93969864
otelcol-vrev1-ctr-qsvqq	otelcol_process_cpu_seconds	363
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_sent_spans	15401780
otelcol-vrev1-ctr-4phqk	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-4phqk	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-4phqk	otelcol_processor_incoming_items	432867
otelcol-vrev1-ctr-4phqk	otelcol_processor_batch_timeout_trigger_send	5425
otelcol-vrev1-ctr-4phqk	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-4phqk	otelcol_process_runtime_total_alloc_bytes	1227434928
otelcol-vrev1-ctr-4phqk	otelcol_process_runtime_heap_alloc_bytes	41513152
otelcol-vrev1-ctr-4phqk	otelcol_processor_outgoing_items	432867
otelcol-vrev1-ctr-4phqk	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-4phqk	otelcol_process_uptime	1541
otelcol-vrev1-ctr-4phqk	otelcol_exporter_sent_spans	432867
otelcol-vrev1-ctr-4phqk	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-4phqk	otelcol_exporter_queue_batch_send_size_sum	432867
otelcol-vrev1-ctr-4phqk	otelcol_processor_accepted_spans	432867
otelcol-vrev1-ctr-4phqk	otelcol_process_memory_rss	212746240
otelcol-vrev1-ctr-4phqk	otelcol_processor_batch_batch_send_size_sum	432867
otelcol-vrev1-ctr-4phqk	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-4phqk	otelcol_process_runtime_total_sys_memory_bytes	84207896
otelcol-vrev1-ctr-4phqk	otelcol_receiver_accepted_spans	432867
otelcol-vrev1-ctr-4phqk	otelcol_process_cpu_seconds	53
otelcol-vrev1-ctr-jd858	otelcol_processor_incoming_items	4292719
otelcol-vrev1-ctr-jd858	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-jd858	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-jd858	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-jd858	otelcol_exporter_queue_batch_send_size_sum	4292719
otelcol-vrev1-ctr-jd858	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-jd858	otelcol_process_runtime_total_alloc_bytes	9507311920
otelcol-vrev1-ctr-jd858	otelcol_process_runtime_heap_alloc_bytes	76743656
otelcol-vrev1-ctr-jd858	otelcol_process_cpu_seconds	128
otelcol-vrev1-ctr-jd858	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-jd858	otelcol_process_uptime	1558
otelcol-vrev1-ctr-jd858	otelcol_processor_outgoing_items	4292719
otelcol-vrev1-ctr-jd858	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-jd858	otelcol_processor_batch_timeout_trigger_send	5440
otelcol-vrev1-ctr-jd858	otelcol_processor_batch_batch_send_size_sum	4292719
otelcol-vrev1-ctr-jd858	otelcol_process_runtime_total_sys_memory_bytes	149551400
otelcol-vrev1-ctr-jd858	otelcol_exporter_sent_spans	4292719
otelcol-vrev1-ctr-jd858	otelcol_processor_accepted_spans	4292719
otelcol-vrev1-ctr-jd858	otelcol_process_memory_rss	269606912
otelcol-vrev1-ctr-jd858	otelcol_receiver_accepted_spans	4292719
otelcol-vrev1-ctr-r6tqk	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-r6tqk	otelcol_process_runtime_heap_alloc_bytes	30622752
otelcol-vrev1-ctr-r6tqk	otelcol_process_cpu_seconds	41
otelcol-vrev1-ctr-r6tqk	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-r6tqk	otelcol_processor_incoming_items	432861
otelcol-vrev1-ctr-r6tqk	otelcol_processor_batch_batch_send_size_sum	432861
otelcol-vrev1-ctr-r6tqk	otelcol_exporter_sent_spans	432861
