pod	metric	value
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_send_failed_spans	31099
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_total_sys_memory_bytes	232974648
otelcol-vrev1-ctr-qsvqq	otelcol_process_memory_rss	323325952
otelcol-vrev1-ctr-qsvqq	otelcol_processor_outgoing_items	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_batch_send_size_sum	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_accepted_spans	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_total_alloc_bytes	3052687856
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_batch_send_size_sum	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-qsvqq	otelcol_processor_accepted_spans	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-qsvqq	otelcol_processor_batch_timeout_trigger_send	947
otelcol-vrev1-ctr-qsvqq	otelcol_process_uptime	643
otelcol-vrev1-ctr-qsvqq	otelcol_processor_incoming_items	1077545
otelcol-vrev1-ctr-qsvqq	otelcol_process_runtime_heap_alloc_bytes	65655528
otelcol-vrev1-ctr-qsvqq	otelcol_process_cpu_seconds	32
otelcol-vrev1-ctr-qsvqq	otelcol_exporter_sent_spans	1046446
otelcol-vrev1-ctr-4phqk	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-4phqk	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-4phqk	otelcol_processor_incoming_items	36867
otelcol-vrev1-ctr-4phqk	otelcol_processor_batch_timeout_trigger_send	943
otelcol-vrev1-ctr-4phqk	otelcol_exporter_queue_capacity	1000
