phase	pod	status	restarts	node
pre_steady	composepost-service-vrev1-ctr-84886fbc88-vchvx	Running	0	node-4
pre_steady	hometimeline-cache-vrev1-ctr-5b555c64b4-wms9b	Running	0	node-9
pre_steady	hometimeline-service-vrev1-ctr-5dddcdd697-t8cwg	Running	0	node-5
pre_steady	jaeger-vrev1-ctr-64cbcd45b6-fc2j2	Running	0	node-7
pre_steady	media-service-vrev1-ctr-567df6f58-q9wvg	Running	0	node-6
pre_steady	otelcol-vrev1-ctr-442v7	Running	0	node-7
pre_steady	otelcol-vrev1-ctr-4phqk	Running	0	node-9
pre_steady	otelcol-vrev1-ctr-9gms7	Running	0	node-8
pre_steady	otelcol-vrev1-ctr-9z7gt	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-jd858	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-jmgz2	Running	0	node-2
pre_steady	otelcol-vrev1-ctr-qsvqq	Running	0	node-4
pre_steady	otelcol-vrev1-ctr-r6tqk	Running	0	node-1
pre_steady	otelcol-vrev1-ctr-zzhfn	Running	0	node-6
pre_steady	post-cache-vrev1-ctr-6f8d579886-ztt94	Running	0	node-9
pre_steady	post-db-vrev1-ctr-7746949669-stlcb	Running	0	node-9
pre_steady	post-storage-service-vrev1-ctr-7dc7588956-f7t2c	Running	0	node-3
pre_steady	social-cache-vrev1-ctr-569b65d4ff-cfd5m	Running	0	node-9
pre_steady	social-db-vrev1-ctr-67496764bd-b26ls	Running	0	node-9
pre_steady	socialgraph-service-vrev1-ctr-6459ccddf-lvxmj	Running	0	node-8
pre_steady	text-service-vrev1-ctr-575c7dc49-lctwg	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-79rgh	Running	0	node-4
pre_steady	tracepressure-service-vrev1-ctr-c25td	Running	0	node-8
pre_steady	tracepressure-service-vrev1-ctr-c499h	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-c8khf	Running	0	node-1
pre_steady	tracepressure-service-vrev1-ctr-d9n9k	Running	0	node-7
pre_steady	tracepressure-service-vrev1-ctr-f66jw	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-gsbhw	Running	0	node-2
pre_steady	tracepressure-service-vrev1-ctr-pbpkg	Running	0	node-9
pre_steady	tracepressure-service-vrev1-ctr-qlvvm	Running	0	node-5
pre_steady	uniqueid-service-vrev1-ctr-57b54c7b6d-pc7wh	Running	0	node-3
pre_steady	urlshorten-db-vrev1-ctr-79c5997cfc-9c92p	Running	0	node-9
pre_steady	urlshorten-service-vrev1-ctr-6664859c5f-26mqm	Running	0	node-7
pre_steady	user-cache-vrev1-ctr-fb5848579-kswk5	Running	0	node-9
pre_steady	user-db-vrev1-ctr-6d9c9f9c8d-ngcvf	Running	0	node-9
pre_steady	user-service-vrev1-ctr-545679b9df-xpsdm	Running	0	node-5
pre_steady	userid-service-vrev1-ctr-5f87d6c55b-47mls	Running	0	node-5
pre_steady	usermention-service-vrev1-ctr-877ccffc9-9pkt6	Running	0	node-2
pre_steady	usertimeline-cache-vrev1-ctr-5b8fcb7ff6-8jv7f	Running	0	node-9
pre_steady	usertimeline-db-vrev1-ctr-6d85df4cc9-m78vx	Running	0	node-9
pre_steady	usertimeline-service-vrev1-ctr-7669cf996d-jpcv5	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-2f7nc	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-4lsg2	Running	0	node-5
pre_steady	wrk2api-service-vrev1-ctr-4z4px	Running	0	node-8
pre_steady	wrk2api-service-vrev1-ctr-5r4ff	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-6zf7n	Running	0	node-9
pre_steady	wrk2api-service-vrev1-ctr-7zf4c	Running	0	node-3
pre_steady	wrk2api-service-vrev1-ctr-9vq94	Running	0	node-1
pre_steady	wrk2api-service-vrev1-ctr-fhhpp	Running	0	node-6
pre_steady	wrk2api-service-vrev1-ctr-qpkcf	Running	0	node-2
post_steady	composepost-service-vrev1-ctr-84886fbc88-vchvx	Running	0	node-4
post_steady	hometimeline-cache-vrev1-ctr-5b555c64b4-wms9b	Running	0	node-9
post_steady	hometimeline-service-vrev1-ctr-5dddcdd697-t8cwg	Running	0	node-5
post_steady	jaeger-vrev1-ctr-64cbcd45b6-fc2j2	Running	0	node-7
post_steady	media-service-vrev1-ctr-567df6f58-q9wvg	Running	0	node-6
post_steady	otelcol-vrev1-ctr-442v7	Running	0	node-7
post_steady	otelcol-vrev1-ctr-4phqk	Running	0	node-9
post_steady	otelcol-vrev1-ctr-9gms7	Running	0	node-8
post_steady	otelcol-vrev1-ctr-9z7gt	Running	0	node-5
post_steady	otelcol-vrev1-ctr-jd858	Running	0	node-3
post_steady	otelcol-vrev1-ctr-jmgz2	Running	0	node-2
post_steady	otelcol-vrev1-ctr-qsvqq	Running	0	node-4
post_steady	otelcol-vrev1-ctr-r6tqk	Running	0	node-1
post_steady	otelcol-vrev1-ctr-zzhfn	Running	0	node-6
post_steady	post-cache-vrev1-ctr-6f8d579886-ztt94	Running	0	node-9
post_steady	post-db-vrev1-ctr-7746949669-stlcb	Running	0	node-9
post_steady	post-storage-service-vrev1-ctr-7dc7588956-f7t2c	Running	0	node-3
post_steady	social-cache-vrev1-ctr-569b65d4ff-cfd5m	Running	0	node-9
post_steady	social-db-vrev1-ctr-67496764bd-b26ls	Running	0	node-9
post_steady	socialgraph-service-vrev1-ctr-6459ccddf-lvxmj	Running	0	node-8
post_steady	text-service-vrev1-ctr-575c7dc49-lctwg	Running	0	node-6
post_steady	tracepressure-service-vrev1-ctr-79rgh	Running	0	node-4
post_steady	tracepressure-service-vrev1-ctr-c25td	Running	0	node-8
post_steady	tracepressure-service-vrev1-ctr-c499h	Running	0	node-3
post_steady	tracepressure-service-vrev1-ctr-c8khf	Running	0	node-1
post_steady	tracepressure-service-vrev1-ctr-d9n9k	Running	0	node-7
post_steady	tracepressure-service-vrev1-ctr-f66jw	Running	0	node-6
post_steady	tracepressure-service-vrev1-ctr-gsbhw	Running	0	node-2
post_steady	tracepressure-service-vrev1-ctr-pbpkg	Running	0	node-9
post_steady	tracepressure-service-vrev1-ctr-qlvvm	Running	0	node-5
post_steady	uniqueid-service-vrev1-ctr-57b54c7b6d-pc7wh	Running	0	node-3
post_steady	urlshorten-db-vrev1-ctr-79c5997cfc-9c92p	Running	0	node-9
post_steady	urlshorten-service-vrev1-ctr-6664859c5f-26mqm	Running	0	node-7
post_steady	user-cache-vrev1-ctr-fb5848579-kswk5	Running	0	node-9
post_steady	user-db-vrev1-ctr-6d9c9f9c8d-ngcvf	Running	0	node-9
post_steady	user-service-vrev1-ctr-545679b9df-xpsdm	Running	0	node-5
post_steady	userid-service-vrev1-ctr-5f87d6c55b-47mls	Running	0	node-5
post_steady	usermention-service-vrev1-ctr-877ccffc9-9pkt6	Running	0	node-2
post_steady	usertimeline-cache-vrev1-ctr-5b8fcb7ff6-8jv7f	Running	0	node-9
post_steady	usertimeline-db-vrev1-ctr-6d85df4cc9-m78vx	Running	0	node-9
post_steady	usertimeline-service-vrev1-ctr-7669cf996d-jpcv5	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-2f7nc	Running	0	node-4
post_steady	wrk2api-service-vrev1-ctr-4lsg2	Running	0	node-5
post_steady	wrk2api-service-vrev1-ctr-4z4px	Running	0	node-8
post_steady	wrk2api-service-vrev1-ctr-5r4ff	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-6zf7n	Running	0	node-9
post_steady	wrk2api-service-vrev1-ctr-7zf4c	Running	0	node-3
post_steady	wrk2api-service-vrev1-ctr-9vq94	Running	0	node-1
post_steady	wrk2api-service-vrev1-ctr-fhhpp	Running	0	node-6
post_steady	wrk2api-service-vrev1-ctr-qpkcf	Running	0	node-2
