pod	metric	value
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_heap_alloc_bytes	47234744
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-hqzkz	otelcol_process_uptime	887
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_processor_incoming_items	168879
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_timeout_trigger_send	2446
otelcol-vrev1-ctr-hqzkz	otelcol_processor_outgoing_items	168879
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_batch_send_size_sum	168879
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_batch_send_size_sum	168879
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_total_sys_memory_bytes	79227160
otelcol-vrev1-ctr-hqzkz	otelcol_process_cpu_seconds	34
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_processor_accepted_spans	168879
otelcol-vrev1-ctr-hqzkz	otelcol_process_memory_rss	216547328
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_total_alloc_bytes	580261032
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_accepted_spans	168879
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_sent_spans	168879
otelcol-vrev1-ctr-chfft	otelcol_receiver_accepted_spans	5182265
otelcol-vrev1-ctr-chfft	otelcol_process_cpu_seconds	177
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_heap_alloc_bytes	140856160
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-chfft	otelcol_process_memory_rss	325681152
otelcol-vrev1-ctr-chfft	otelcol_processor_incoming_items	7391850
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_total_sys_memory_bytes	276236600
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_timeout_trigger_send	2061
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_batch_send_size_sum	5182265
otelcol-vrev1-ctr-chfft	otelcol_exporter_sent_spans	894397
otelcol-vrev1-ctr-chfft	otelcol_processor_outgoing_items	5182265
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_batch_size_trigger_send	5
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_total_alloc_bytes	29289076928
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_batch_send_size_sum	5182265
otelcol-vrev1-ctr-chfft	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-chfft	otelcol_processor_accepted_spans	5182265
