pod	metric	value
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_heap_alloc_bytes	51945288
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-hqzkz	otelcol_process_uptime	580
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_processor_incoming_items	36879
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_timeout_trigger_send	954
otelcol-vrev1-ctr-hqzkz	otelcol_processor_outgoing_items	36879
otelcol-vrev1-ctr-hqzkz	otelcol_processor_batch_batch_send_size_sum	36879
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_queue_batch_send_size_sum	36879
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_total_sys_memory_bytes	78670104
otelcol-vrev1-ctr-hqzkz	otelcol_process_cpu_seconds	13
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_processor_accepted_spans	36879
otelcol-vrev1-ctr-hqzkz	otelcol_process_memory_rss	212414464
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-hqzkz	otelcol_process_runtime_total_alloc_bytes	218480616
otelcol-vrev1-ctr-hqzkz	otelcol_receiver_accepted_spans	36879
otelcol-vrev1-ctr-hqzkz	otelcol_exporter_sent_spans	36879
otelcol-vrev1-ctr-chfft	otelcol_receiver_accepted_spans	853912
otelcol-vrev1-ctr-chfft	otelcol_process_cpu_seconds	41
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_heap_alloc_bytes	145255072
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-chfft	otelcol_process_memory_rss	322256896
otelcol-vrev1-ctr-chfft	otelcol_processor_incoming_items	1295820
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_total_sys_memory_bytes	259197240
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_timeout_trigger_send	868
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_batch_send_size_sum	853912
otelcol-vrev1-ctr-chfft	otelcol_exporter_sent_spans	247849
otelcol-vrev1-ctr-chfft	otelcol_processor_outgoing_items	853912
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-chfft	otelcol_processor_batch_batch_size_trigger_send	3
otelcol-vrev1-ctr-chfft	otelcol_process_runtime_total_alloc_bytes	5238146536
otelcol-vrev1-ctr-chfft	otelcol_exporter_queue_batch_send_size_sum	853912
otelcol-vrev1-ctr-chfft	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-chfft	otelcol_processor_accepted_spans	853912
otelcol-vrev1-ctr-chfft	otelcol_receiver_refused_spans	441908
otelcol-vrev1-ctr-chfft	otelcol_processor_refused_spans	441908
otelcol-vrev1-ctr-chfft	otelcol_process_uptime	575
otelcol-vrev1-ctr-chfft	otelcol_exporter_send_failed_spans	606063
otelcol-vrev1-ctr-c7gg2	otelcol_process_uptime	582
otelcol-vrev1-ctr-c7gg2	otelcol_process_runtime_total_alloc_bytes	473364784
otelcol-vrev1-ctr-c7gg2	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-c7gg2	otelcol_process_cpu_seconds	11
otelcol-vrev1-ctr-c7gg2	otelcol_exporter_sent_spans	168077
otelcol-vrev1-ctr-c7gg2	otelcol_processor_outgoing_items	168077
otelcol-vrev1-ctr-c7gg2	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-c7gg2	otelcol_process_memory_rss	232476672
otelcol-vrev1-ctr-c7gg2	otelcol_processor_batch_timeout_trigger_send	960
otelcol-vrev1-ctr-c7gg2	otelcol_receiver_accepted_spans	168077
otelcol-vrev1-ctr-c7gg2	otelcol_processor_accepted_spans	168077
otelcol-vrev1-ctr-c7gg2	otelcol_process_runtime_heap_alloc_bytes	50770384
otelcol-vrev1-ctr-c7gg2	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-c7gg2	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-c7gg2	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-c7gg2	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-c7gg2	otelcol_process_runtime_total_sys_memory_bytes	101435672
otelcol-vrev1-ctr-c7gg2	otelcol_exporter_queue_batch_send_size_sum	168077
otelcol-vrev1-ctr-c7gg2	otelcol_processor_incoming_items	168077
otelcol-vrev1-ctr-c7gg2	otelcol_processor_batch_batch_send_size_sum	168077
otelcol-vrev1-ctr-2wk9x	otelcol_receiver_accepted_spans	167244
otelcol-vrev1-ctr-2wk9x	otelcol_processor_outgoing_items	167244
otelcol-vrev1-ctr-2wk9x	otelcol_process_cpu_seconds	12
otelcol-vrev1-ctr-2wk9x	otelcol_exporter_queue_batch_send_size_sum	167244
otelcol-vrev1-ctr-2wk9x	otelcol_exporter_sent_spans	167244
otelcol-vrev1-ctr-2wk9x	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-2wk9x	otelcol_process_runtime_total_sys_memory_bytes	93202712
otelcol-vrev1-ctr-2wk9x	otelcol_process_memory_rss	233660416
otelcol-vrev1-ctr-2wk9x	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-2wk9x	otelcol_process_runtime_heap_alloc_bytes	36627176
otelcol-vrev1-ctr-2wk9x	otelcol_processor_batch_batch_send_size_sum	167244
otelcol-vrev1-ctr-2wk9x	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-2wk9x	otelcol_processor_accepted_spans	167244
otelcol-vrev1-ctr-2wk9x	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-2wk9x	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-2wk9x	otelcol_processor_batch_timeout_trigger_send	963
otelcol-vrev1-ctr-2wk9x	otelcol_process_runtime_total_alloc_bytes	469584336
otelcol-vrev1-ctr-2wk9x	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-2wk9x	otelcol_processor_incoming_items	167244
otelcol-vrev1-ctr-2wk9x	otelcol_process_uptime	581
otelcol-vrev1-ctr-r78c2	otelcol_processor_batch_timeout_trigger_send	958
otelcol-vrev1-ctr-r78c2	otelcol_exporter_queue_batch_send_size_sum	296905
otelcol-vrev1-ctr-r78c2	otelcol_process_runtime_heap_alloc_bytes	69438928
otelcol-vrev1-ctr-r78c2	otelcol_processor_outgoing_items	296905
otelcol-vrev1-ctr-r78c2	otelcol_process_runtime_total_sys_memory_bytes	134584616
otelcol-vrev1-ctr-r78c2	otelcol_process_cpu_seconds	14
otelcol-vrev1-ctr-r78c2	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-r78c2	otelcol_processor_batch_batch_send_size_sum	296905
otelcol-vrev1-ctr-r78c2	otelcol_processor_accepted_spans	296905
otelcol-vrev1-ctr-r78c2	otelcol_process_uptime	581
otelcol-vrev1-ctr-r78c2	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-r78c2	otelcol_process_memory_rss	247902208
otelcol-vrev1-ctr-r78c2	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-r78c2	otelcol_receiver_accepted_spans	296905
otelcol-vrev1-ctr-r78c2	otelcol_processor_incoming_items	296905
otelcol-vrev1-ctr-r78c2	otelcol_process_runtime_total_alloc_bytes	813701016
otelcol-vrev1-ctr-r78c2	otelcol_exporter_sent_spans	296905
otelcol-vrev1-ctr-r78c2	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-r78c2	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-r78c2	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-2ttdd	otelcol_processor_incoming_items	281918
otelcol-vrev1-ctr-2ttdd	otelcol_processor_batch_batch_send_size_sum	281918
otelcol-vrev1-ctr-2ttdd	otelcol_process_uptime	584
otelcol-vrev1-ctr-2ttdd	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-2ttdd	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-2ttdd	otelcol_process_runtime_heap_alloc_bytes	55455536
otelcol-vrev1-ctr-2ttdd	otelcol_processor_outgoing_items	281918
otelcol-vrev1-ctr-2ttdd	otelcol_processor_batch_timeout_trigger_send	963
otelcol-vrev1-ctr-2ttdd	otelcol_process_cpu_seconds	14
otelcol-vrev1-ctr-2ttdd	otelcol_exporter_sent_spans	281918
otelcol-vrev1-ctr-2ttdd	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-2ttdd	otelcol_receiver_accepted_spans	281918
otelcol-vrev1-ctr-2ttdd	otelcol_processor_accepted_spans	281918
otelcol-vrev1-ctr-2ttdd	otelcol_process_runtime_total_sys_memory_bytes	131709224
otelcol-vrev1-ctr-2ttdd	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-2ttdd	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-2ttdd	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-2ttdd	otelcol_process_memory_rss	236392448
otelcol-vrev1-ctr-2ttdd	otelcol_process_runtime_total_alloc_bytes	741217376
otelcol-vrev1-ctr-2ttdd	otelcol_exporter_queue_batch_send_size_sum	281918
otelcol-vrev1-ctr-554d9	otelcol_process_runtime_total_alloc_bytes	508596464
otelcol-vrev1-ctr-554d9	otelcol_receiver_accepted_spans	166891
otelcol-vrev1-ctr-554d9	otelcol_processor_incoming_items	166891
otelcol-vrev1-ctr-554d9	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-554d9	otelcol_process_runtime_total_sys_memory_bytes	109312296
otelcol-vrev1-ctr-554d9	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-554d9	otelcol_processor_batch_timeout_trigger_send	959
otelcol-vrev1-ctr-554d9	otelcol_process_uptime	581
otelcol-vrev1-ctr-554d9	otelcol_processor_outgoing_items	166891
otelcol-vrev1-ctr-554d9	otelcol_process_cpu_seconds	12
otelcol-vrev1-ctr-554d9	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-554d9	otelcol_exporter_queue_batch_send_size_sum	166891
otelcol-vrev1-ctr-554d9	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-554d9	otelcol_process_runtime_heap_alloc_bytes	39603912
otelcol-vrev1-ctr-554d9	otelcol_exporter_sent_spans	166891
otelcol-vrev1-ctr-554d9	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-554d9	otelcol_processor_accepted_spans	166891
otelcol-vrev1-ctr-554d9	otelcol_processor_batch_batch_send_size_sum	166891
otelcol-vrev1-ctr-554d9	otelcol_process_memory_rss	241131520
otelcol-vrev1-ctr-554d9	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-8zb2c	otelcol_processor_outgoing_items	634138
otelcol-vrev1-ctr-8zb2c	otelcol_processor_batch_timeout_trigger_send	967
otelcol-vrev1-ctr-8zb2c	otelcol_exporter_queue_batch_send_size_sum	634138
otelcol-vrev1-ctr-8zb2c	otelcol_processor_accepted_spans	634138
otelcol-vrev1-ctr-8zb2c	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-8zb2c	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-8zb2c	otelcol_process_runtime_heap_alloc_bytes	83975856
otelcol-vrev1-ctr-8zb2c	otelcol_receiver_accepted_spans	634138
otelcol-vrev1-ctr-8zb2c	otelcol_process_memory_rss	285270016
otelcol-vrev1-ctr-8zb2c	otelcol_process_runtime_total_alloc_bytes	1489894968
otelcol-vrev1-ctr-8zb2c	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-8zb2c	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-8zb2c	otelcol_process_uptime	578
otelcol-vrev1-ctr-8zb2c	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-8zb2c	otelcol_processor_incoming_items	634138
otelcol-vrev1-ctr-8zb2c	otelcol_processor_batch_batch_send_size_sum	634138
otelcol-vrev1-ctr-8zb2c	otelcol_process_cpu_seconds	23
otelcol-vrev1-ctr-8zb2c	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-8zb2c	otelcol_process_runtime_total_sys_memory_bytes	170055976
otelcol-vrev1-ctr-8zb2c	otelcol_exporter_sent_spans	634138
otelcol-vrev1-ctr-4lhlj	otelcol_processor_accepted_spans	169197
otelcol-vrev1-ctr-4lhlj	otelcol_process_cpu_seconds	12
otelcol-vrev1-ctr-4lhlj	otelcol_process_runtime_heap_alloc_bytes	63935584
otelcol-vrev1-ctr-4lhlj	otelcol_exporter_queue_batch_send_size_sum	169197
otelcol-vrev1-ctr-4lhlj	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-4lhlj	otelcol_processor_incoming_items	169197
otelcol-vrev1-ctr-4lhlj	otelcol_processor_batch_timeout_trigger_send	967
otelcol-vrev1-ctr-4lhlj	otelcol_exporter_sent_spans	169197
otelcol-vrev1-ctr-4lhlj	otelcol_process_memory_rss	230907904
otelcol-vrev1-ctr-4lhlj	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-4lhlj	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-4lhlj	otelcol_receiver_accepted_spans	169197
otelcol-vrev1-ctr-4lhlj	otelcol_process_uptime	580
otelcol-vrev1-ctr-4lhlj	otelcol_processor_batch_batch_send_size_sum	169197
otelcol-vrev1-ctr-4lhlj	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-4lhlj	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-4lhlj	otelcol_processor_outgoing_items	169197
otelcol-vrev1-ctr-4lhlj	otelcol_process_runtime_total_alloc_bytes	473403328
otelcol-vrev1-ctr-4lhlj	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-4lhlj	otelcol_process_runtime_total_sys_memory_bytes	101976344
