pod	metric	value
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_total_sys_memory_bytes	83429656
otelcol-vrev1-ctr-5vt6g	otelcol_processor_incoming_items	168859
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_heap_alloc_bytes	30382464
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_process_uptime	2023
otelcol-vrev1-ctr-5vt6g	otelcol_process_memory_rss	216113152
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_processor_outgoing_items	168859
otelcol-vrev1-ctr-5vt6g	otelcol_process_cpu_seconds	41
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_sent_spans	168859
otelcol-vrev1-ctr-5vt6g	otelcol_processor_accepted_spans	168859
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_accepted_spans	168859
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_batch_send_size_sum	168859
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_timeout_trigger_send	2442
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_total_alloc_bytes	659369408
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_batch_send_size_sum	168859
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_batch_send_size_sum	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_process_cpu_seconds	43
otelcol-vrev1-ctr-hmvk8	otelcol_processor_outgoing_items	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_sent_spans	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_processor_accepted_spans	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_heap_alloc_bytes	60384304
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_accepted_spans	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_total_sys_memory_bytes	151648552
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_timeout_trigger_send	2461
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_batch_send_size_sum	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_processor_incoming_items	1013768
otelcol-vrev1-ctr-hmvk8	otelcol_process_uptime	2026
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_total_alloc_bytes	2295552592
otelcol-vrev1-ctr-hmvk8	otelcol_process_memory_rss	234147840
otelcol-vrev1-ctr-9jtt6	otelcol_receiver_accepted_spans	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_process_runtime_total_alloc_bytes	3782321088
otelcol-vrev1-ctr-9jtt6	otelcol_process_cpu_seconds	57
otelcol-vrev1-ctr-9jtt6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_sent_spans	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-9jtt6	otelcol_processor_batch_timeout_trigger_send	2456
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-9jtt6	otelcol_process_uptime	2023
otelcol-vrev1-ctr-9jtt6	otelcol_process_runtime_heap_alloc_bytes	42759248
otelcol-vrev1-ctr-9jtt6	otelcol_process_memory_rss	244883456
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-9jtt6	otelcol_processor_incoming_items	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_queue_batch_send_size_sum	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-9jtt6	otelcol_processor_outgoing_items	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_processor_batch_batch_send_size_sum	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-9jtt6	otelcol_processor_accepted_spans	1628687
otelcol-vrev1-ctr-9jtt6	otelcol_process_runtime_total_sys_memory_bytes	136427816
otelcol-vrev1-ctr-d2gvt	otelcol_processor_batch_batch_send_size_sum	904787
otelcol-vrev1-ctr-d2gvt	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-d2gvt	otelcol_processor_accepted_spans	904787
otelcol-vrev1-ctr-d2gvt	otelcol_process_uptime	2024
otelcol-vrev1-ctr-d2gvt	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-d2gvt	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-d2gvt	otelcol_processor_batch_timeout_trigger_send	2459
otelcol-vrev1-ctr-d2gvt	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-d2gvt	otelcol_process_runtime_heap_alloc_bytes	35469168
otelcol-vrev1-ctr-d2gvt	otelcol_processor_incoming_items	904787
otelcol-vrev1-ctr-d2gvt	otelcol_process_runtime_total_sys_memory_bytes	105646360
otelcol-vrev1-ctr-d2gvt	otelcol_receiver_accepted_spans	904787
otelcol-vrev1-ctr-d2gvt	otelcol_process_runtime_total_alloc_bytes	1950632944
