pod	metric	value
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_total_sys_memory_bytes	83413272
otelcol-vrev1-ctr-5vt6g	otelcol_processor_incoming_items	36859
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_heap_alloc_bytes	28112600
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_process_uptime	1716
otelcol-vrev1-ctr-5vt6g	otelcol_process_memory_rss	214872064
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_processor_outgoing_items	36859
otelcol-vrev1-ctr-5vt6g	otelcol_process_cpu_seconds	20
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_sent_spans	36859
otelcol-vrev1-ctr-5vt6g	otelcol_processor_accepted_spans	36859
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_accepted_spans	36859
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_batch_send_size_sum	36859
otelcol-vrev1-ctr-5vt6g	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-5vt6g	otelcol_processor_batch_timeout_trigger_send	951
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-5vt6g	otelcol_process_runtime_total_alloc_bytes	289195368
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-5vt6g	otelcol_exporter_queue_batch_send_size_sum	36859
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_batch_send_size_sum	281768
otelcol-vrev1-ctr-hmvk8	otelcol_process_cpu_seconds	20
otelcol-vrev1-ctr-hmvk8	otelcol_processor_outgoing_items	281768
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_sent_spans	281768
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_processor_accepted_spans	281768
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_heap_alloc_bytes	51071984
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_receiver_accepted_spans	281768
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_total_sys_memory_bytes	151632168
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-hmvk8	otelcol_processor_batch_timeout_trigger_send	966
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_batch_send_size_sum	281768
otelcol-vrev1-ctr-hmvk8	otelcol_processor_incoming_items	281768
otelcol-vrev1-ctr-hmvk8	otelcol_process_uptime	1719
otelcol-vrev1-ctr-hmvk8	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-hmvk8	otelcol_process_runtime_total_alloc_bytes	845744160
otelcol-vrev1-ctr-hmvk8	otelcol_process_memory_rss	233103360
otelcol-vrev1-ctr-9jtt6	otelcol_receiver_accepted_spans	296687
otelcol-vrev1-ctr-9jtt6	otelcol_process_runtime_total_alloc_bytes	860280888
otelcol-vrev1-ctr-9jtt6	otelcol_process_cpu_seconds	21
otelcol-vrev1-ctr-9jtt6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_sent_spans	296687
otelcol-vrev1-ctr-9jtt6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-9jtt6	otelcol_processor_batch_timeout_trigger_send	962
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-9jtt6	otelcol_process_uptime	1717
otelcol-vrev1-ctr-9jtt6	otelcol_process_runtime_heap_alloc_bytes	56574176
otelcol-vrev1-ctr-9jtt6	otelcol_process_memory_rss	240766976
otelcol-vrev1-ctr-9jtt6	otelcol_exporter_queue_size	0
