phase	pod	status	restarts	node
pre_steady	composepost-service-vrev1-ctr-7776bbb96d-8v22z	Running	0	node-1
pre_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-7jlf5	Running	0	node-1
pre_steady	hometimeline-service-vrev1-ctr-6c9775f485-sddpt	Running	0	node-1
pre_steady	jaeger-vrev1-ctr-6f6dcd8dc7-ss9np	Running	0	node-9
pre_steady	media-service-vrev1-ctr-b876c4f6d-lwxlm	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-5vt6g	Running	0	node-9
pre_steady	otelcol-vrev1-ctr-9jtt6	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-c2s6t	Running	0	node-4
pre_steady	otelcol-vrev1-ctr-d2gvt	Running	0	node-7
pre_steady	otelcol-vrev1-ctr-hmvk8	Running	0	node-2
pre_steady	otelcol-vrev1-ctr-jqkph	Running	0	node-6
pre_steady	otelcol-vrev1-ctr-k2hpm	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-p7lqn	Running	0	node-8
pre_steady	otelcol-vrev1-ctr-tg5qr	Running	0	node-1
pre_steady	post-cache-vrev1-ctr-b9dc74888-h7c68	Running	0	node-6
pre_steady	post-db-vrev1-ctr-6c6dbb6df5-qbwd9	Running	0	node-6
pre_steady	post-storage-service-vrev1-ctr-959f4ff7-rf6c8	Running	0	node-6
pre_steady	social-cache-vrev1-ctr-76d6bdc48f-8cvxx	Running	0	node-2
pre_steady	social-db-vrev1-ctr-6b88bf776d-w7dkg	Running	0	node-2
pre_steady	socialgraph-service-vrev1-ctr-6fd7c8d78-xl9lz	Running	0	node-2
pre_steady	text-service-vrev1-ctr-77bb8c98dc-26pfs	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-4jcmj	Running	0	node-9
pre_steady	tracepressure-service-vrev1-ctr-4w4d4	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-6tk96	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-77nww	Running	0	node-7
pre_steady	tracepressure-service-vrev1-ctr-lf54s	Running	0	node-2
pre_steady	tracepressure-service-vrev1-ctr-rxgzt	Running	0	node-4
