pod	metric	value
otelcol-vrev1-ctr-s6hck	otelcol_exporter_send_failed_spans	16506394
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-s6hck	otelcol_processor_accepted_spans	16783287
otelcol-vrev1-ctr-s6hck	otelcol_process_memory_rss	473210880
otelcol-vrev1-ctr-s6hck	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_timeout_trigger_send	928
otelcol-vrev1-ctr-s6hck	otelcol_process_cpu_seconds	423
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_batch_send_size_sum	16783287
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_total_alloc_bytes	54713574256
otelcol-vrev1-ctr-s6hck	otelcol_receiver_accepted_spans	16783287
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_total_sys_memory_bytes	443050360
otelcol-vrev1-ctr-s6hck	otelcol_exporter_sent_spans	276893
otelcol-vrev1-ctr-s6hck	otelcol_processor_incoming_items	16783287
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_batch_size_trigger_send	1705
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-s6hck	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_batch_send_size_sum	16783287
otelcol-vrev1-ctr-s6hck	otelcol_process_uptime	1300
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-s6hck	otelcol_processor_outgoing_items	16783287
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_heap_alloc_bytes	156736216
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-bffvs	otelcol_process_cpu_seconds	24
otelcol-vrev1-ctr-bffvs	otelcol_processor_outgoing_items	190508
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_timeout_trigger_send	2409
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_total_sys_memory_bytes	79759640
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_heap_alloc_bytes	47942360
otelcol-vrev1-ctr-bffvs	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_processor_accepted_spans	190508
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_batch_send_size_sum	190508
otelcol-vrev1-ctr-bffvs	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_total_alloc_bytes	682330576
otelcol-vrev1-ctr-bffvs	otelcol_exporter_sent_spans	190508
otelcol-vrev1-ctr-bffvs	otelcol_process_uptime	1303
otelcol-vrev1-ctr-bffvs	otelcol_process_memory_rss	219140096
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-bffvs	otelcol_receiver_accepted_spans	190508
otelcol-vrev1-ctr-bffvs	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_batch_send_size_sum	190508
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-bffvs	otelcol_processor_incoming_items	190508
otelcol-vrev1-ctr-86t7j	otelcol_process_runtime_total_alloc_bytes	43541612056
