pod	metric	value
otelcol-vrev1-ctr-s6hck	otelcol_exporter_send_failed_spans	2699790
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-s6hck	otelcol_processor_accepted_spans	2968747
otelcol-vrev1-ctr-s6hck	otelcol_process_memory_rss	497197056
otelcol-vrev1-ctr-s6hck	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_timeout_trigger_send	658
otelcol-vrev1-ctr-s6hck	otelcol_process_cpu_seconds	82
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_batch_send_size_sum	2968747
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_total_alloc_bytes	9850240248
otelcol-vrev1-ctr-s6hck	otelcol_receiver_accepted_spans	2968747
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_total_sys_memory_bytes	442247544
otelcol-vrev1-ctr-s6hck	otelcol_exporter_sent_spans	268957
otelcol-vrev1-ctr-s6hck	otelcol_processor_incoming_items	2968747
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_batch_size_trigger_send	284
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-s6hck	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-s6hck	otelcol_processor_batch_batch_send_size_sum	2968747
otelcol-vrev1-ctr-s6hck	otelcol_process_uptime	975
otelcol-vrev1-ctr-s6hck	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-s6hck	otelcol_processor_outgoing_items	2968747
otelcol-vrev1-ctr-s6hck	otelcol_process_runtime_heap_alloc_bytes	289834864
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-bffvs	otelcol_process_cpu_seconds	11
otelcol-vrev1-ctr-bffvs	otelcol_processor_outgoing_items	45544
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_timeout_trigger_send	911
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_total_sys_memory_bytes	79743256
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_heap_alloc_bytes	43855064
otelcol-vrev1-ctr-bffvs	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_processor_accepted_spans	45544
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_batch_send_size_sum	45544
otelcol-vrev1-ctr-bffvs	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_process_runtime_total_alloc_bytes	262919480
otelcol-vrev1-ctr-bffvs	otelcol_exporter_sent_spans	45544
otelcol-vrev1-ctr-bffvs	otelcol_process_uptime	978
otelcol-vrev1-ctr-bffvs	otelcol_process_memory_rss	213622784
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-bffvs	otelcol_receiver_accepted_spans	45544
otelcol-vrev1-ctr-bffvs	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-bffvs	otelcol_processor_batch_batch_send_size_sum	45544
otelcol-vrev1-ctr-bffvs	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-bffvs	otelcol_processor_incoming_items	45544
otelcol-vrev1-ctr-86t7j	otelcol_process_runtime_total_alloc_bytes	8081731352
otelcol-vrev1-ctr-86t7j	otelcol_process_runtime_heap_alloc_bytes	188212696
otelcol-vrev1-ctr-86t7j	otelcol_receiver_accepted_spans	2452747
otelcol-vrev1-ctr-86t7j	otelcol_exporter_sent_spans	328007
otelcol-vrev1-ctr-86t7j	otelcol_processor_incoming_items	2452747
otelcol-vrev1-ctr-86t7j	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-86t7j	otelcol_processor_batch_batch_send_size_sum	2452747
otelcol-vrev1-ctr-86t7j	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-86t7j	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-86t7j	otelcol_processor_batch_timeout_trigger_send	904
otelcol-vrev1-ctr-86t7j	otelcol_process_runtime_total_sys_memory_bytes	424687976
otelcol-vrev1-ctr-86t7j	otelcol_processor_outgoing_items	2452747
otelcol-vrev1-ctr-86t7j	otelcol_process_uptime	980
otelcol-vrev1-ctr-86t7j	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-86t7j	otelcol_process_memory_rss	434700288
otelcol-vrev1-ctr-86t7j	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-86t7j	otelcol_processor_accepted_spans	2452747
otelcol-vrev1-ctr-86t7j	otelcol_exporter_send_failed_spans	2124740
otelcol-vrev1-ctr-86t7j	otelcol_process_cpu_seconds	94
otelcol-vrev1-ctr-86t7j	otelcol_processor_batch_batch_size_trigger_send	22
otelcol-vrev1-ctr-86t7j	otelcol_exporter_queue_batch_send_size_sum	2452747
otelcol-vrev1-ctr-pzlhf	otelcol_process_memory_rss	212013056
otelcol-vrev1-ctr-pzlhf	otelcol_process_uptime	980
otelcol-vrev1-ctr-pzlhf	otelcol_process_cpu_seconds	11
otelcol-vrev1-ctr-pzlhf	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-pzlhf	otelcol_exporter_sent_spans	46152
otelcol-vrev1-ctr-pzlhf	otelcol_processor_incoming_items	46152
otelcol-vrev1-ctr-pzlhf	otelcol_processor_batch_timeout_trigger_send	909
otelcol-vrev1-ctr-pzlhf	otelcol_process_runtime_total_sys_memory_bytes	79210776
otelcol-vrev1-ctr-pzlhf	otelcol_receiver_accepted_spans	46152
otelcol-vrev1-ctr-pzlhf	otelcol_processor_batch_batch_send_size_sum	46152
