phase	pod	status	restarts	node
pre_steady	composepost-service-vrev1-ctr-84886fbc88-wvh7c	Running	0	node-9
pre_steady	hometimeline-cache-vrev1-ctr-d595cdfc4-bjnhz	Running	0	node-2
pre_steady	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	Running	0	node-7
pre_steady	jaeger-vrev1-ctr-5ccdf6c966-sgh7s	Running	0	node-5
pre_steady	media-service-vrev1-ctr-567df6f58-82gn2	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-2mf69	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-86t7j	Running	0	node-9
pre_steady	otelcol-vrev1-ctr-8zmmk	Running	0	node-2
pre_steady	otelcol-vrev1-ctr-bffvs	Running	0	node-1
pre_steady	otelcol-vrev1-ctr-jbd6v	Running	0	node-8
pre_steady	otelcol-vrev1-ctr-l6psk	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-pzlhf	Running	0	node-4
pre_steady	otelcol-vrev1-ctr-s6hck	Running	0	node-7
pre_steady	otelcol-vrev1-ctr-vks9p	Running	0	node-6
pre_steady	post-cache-vrev1-ctr-65c6d8945b-7p7jg	Running	0	node-1
pre_steady	post-db-vrev1-ctr-7496c5fdbf-5cccn	Running	0	node-4
pre_steady	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	Running	0	node-6
pre_steady	social-cache-vrev1-ctr-6f6b8b8fc7-p62tj	Running	0	node-2
pre_steady	social-db-vrev1-ctr-55454f4c88-cr9n6	Running	0	node-3
pre_steady	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	Running	0	node-6
pre_steady	text-service-vrev1-ctr-575c7dc49-96rt6	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-ch7q5	Running	0	node-9
pre_steady	tracepressure-service-vrev1-ctr-d9gjb	Running	0	node-2
pre_steady	tracepressure-service-vrev1-ctr-h94mg	Running	0	node-7
pre_steady	tracepressure-service-vrev1-ctr-nlx8s	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-p5l85	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-qlrlr	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-vcr9z	Running	0	node-8
pre_steady	tracepressure-service-vrev1-ctr-vdlc2	Running	0	node-4
pre_steady	tracepressure-service-vrev1-ctr-wkbgd	Running	0	node-1
pre_steady	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	Running	0	node-6
pre_steady	urlshorten-db-vrev1-ctr-6dfc9fdc7c-55r6k	Running	0	node-3
pre_steady	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	Running	0	node-9
pre_steady	user-cache-vrev1-ctr-5cf89454f-gj7rz	Running	0	node-8
pre_steady	user-db-vrev1-ctr-6bbfc88d44-t982b	Running	0	node-3
pre_steady	user-service-vrev1-ctr-545679b9df-bskdx	Running	0	node-8
pre_steady	userid-service-vrev1-ctr-5f87d6c55b-9mssc	Running	0	node-6
pre_steady	usermention-service-vrev1-ctr-877ccffc9-qm7l7	Running	0	node-7
pre_steady	usertimeline-cache-vrev1-ctr-59964b6798-7gfjw	Running	0	node-9
pre_steady	usertimeline-db-vrev1-ctr-7cf69585cf-ld5dt	Running	0	node-6
pre_steady	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-4qptj	Running	0	node-3
pre_steady	wrk2api-service-vrev1-ctr-4rrhq	Running	0	node-5
pre_steady	wrk2api-service-vrev1-ctr-6k7kz	Running	0	node-1
pre_steady	wrk2api-service-vrev1-ctr-bbcxb	Running	0	node-9
pre_steady	wrk2api-service-vrev1-ctr-fvjw4	Running	0	node-2
pre_steady	wrk2api-service-vrev1-ctr-mmdgq	Running	0	node-8
pre_steady	wrk2api-service-vrev1-ctr-rrq9t	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-sff4t	Running	0	node-6
pre_steady	wrk2api-service-vrev1-ctr-vdwtc	Running	0	node-4
post_steady	composepost-service-vrev1-ctr-84886fbc88-wvh7c	Running	0	node-9
post_steady	hometimeline-cache-vrev1-ctr-d595cdfc4-bjnhz	Running	0	node-2
post_steady	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	Running	0	node-7
post_steady	jaeger-vrev1-ctr-5ccdf6c966-sgh7s	Running	0	node-5
post_steady	media-service-vrev1-ctr-567df6f58-82gn2	Running	0	node-3
post_steady	otelcol-vrev1-ctr-2mf69	Running	0	node-5
post_steady	otelcol-vrev1-ctr-86t7j	Running	0	node-9
post_steady	otelcol-vrev1-ctr-8zmmk	Running	0	node-2
post_steady	otelcol-vrev1-ctr-bffvs	Running	0	node-1
post_steady	otelcol-vrev1-ctr-jbd6v	Running	0	node-8
post_steady	otelcol-vrev1-ctr-l6psk	Running	0	node-3
post_steady	otelcol-vrev1-ctr-pzlhf	Running	0	node-4
post_steady	otelcol-vrev1-ctr-s6hck	Running	0	node-7
post_steady	otelcol-vrev1-ctr-vks9p	Running	0	node-6
post_steady	post-cache-vrev1-ctr-65c6d8945b-7p7jg	Running	0	node-1
post_steady	post-db-vrev1-ctr-7496c5fdbf-5cccn	Running	0	node-4
post_steady	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	Running	0	node-6
post_steady	social-cache-vrev1-ctr-6f6b8b8fc7-p62tj	Running	0	node-2
post_steady	social-db-vrev1-ctr-55454f4c88-cr9n6	Running	0	node-3
post_steady	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	Running	0	node-6
post_steady	text-service-vrev1-ctr-575c7dc49-96rt6	Running	0	node-3
post_steady	tracepressure-service-vrev1-ctr-ch7q5	Running	0	node-9
post_steady	tracepressure-service-vrev1-ctr-d9gjb	Running	0	node-2
post_steady	tracepressure-service-vrev1-ctr-h94mg	Running	0	node-7
post_steady	tracepressure-service-vrev1-ctr-nlx8s	Running	0	node-5
post_steady	tracepressure-service-vrev1-ctr-p5l85	Running	0	node-3
post_steady	tracepressure-service-vrev1-ctr-qlrlr	Running	0	node-6
post_steady	tracepressure-service-vrev1-ctr-vcr9z	Running	0	node-8
post_steady	tracepressure-service-vrev1-ctr-vdlc2	Running	0	node-4
post_steady	tracepressure-service-vrev1-ctr-wkbgd	Running	0	node-1
post_steady	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	Running	0	node-6
post_steady	urlshorten-db-vrev1-ctr-6dfc9fdc7c-55r6k	Running	0	node-3
post_steady	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	Running	0	node-9
post_steady	user-cache-vrev1-ctr-5cf89454f-gj7rz	Running	0	node-8
post_steady	user-db-vrev1-ctr-6bbfc88d44-t982b	Running	0	node-3
post_steady	user-service-vrev1-ctr-545679b9df-bskdx	Running	0	node-8
post_steady	userid-service-vrev1-ctr-5f87d6c55b-9mssc	Running	0	node-6
post_steady	usermention-service-vrev1-ctr-877ccffc9-qm7l7	Running	0	node-7
post_steady	usertimeline-cache-vrev1-ctr-59964b6798-7gfjw	Running	0	node-9
post_steady	usertimeline-db-vrev1-ctr-7cf69585cf-ld5dt	Running	0	node-6
post_steady	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-4qptj	Running	0	node-3
post_steady	wrk2api-service-vrev1-ctr-4rrhq	Running	0	node-5
post_steady	wrk2api-service-vrev1-ctr-6k7kz	Running	0	node-1
post_steady	wrk2api-service-vrev1-ctr-bbcxb	Running	0	node-9
post_steady	wrk2api-service-vrev1-ctr-fvjw4	Running	0	node-2
post_steady	wrk2api-service-vrev1-ctr-mmdgq	Running	0	node-8
post_steady	wrk2api-service-vrev1-ctr-rrq9t	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-sff4t	Running	0	node-6
post_steady	wrk2api-service-vrev1-ctr-vdwtc	Running	0	node-4
