service	pod	key	value
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_received	175476
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_flushed	175476
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_sent	175476
wrk2api	wrk2api-service-vrev1-ctr-4qptj	batches_sent	8384
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	batches_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_deadline	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_unavailable	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_exhausted	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_canceled	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_other	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	buffer_depth	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_received	11852613
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_flushed	11852613
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_sent	11852613
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	batches_sent	38251
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_dropped	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	batches_dropped	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_deadline	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_unavailable	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_exhausted	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_canceled	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_other	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	buffer_depth	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_received	14223060
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_flushed	14223060
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_sent	14223060
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	batches_sent	31839
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_dropped	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	batches_dropped	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_deadline	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_unavailable	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_exhausted	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_canceled	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_other	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	buffer_depth	0
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_received	1185264
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_flushed	1185264
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_sent	1185264
media	media-service-vrev1-ctr-567df6f58-82gn2	batches_sent	4202
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_dropped	0
media	media-service-vrev1-ctr-567df6f58-82gn2	batches_dropped	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_deadline	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_unavailable	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_exhausted	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_canceled	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_other	0
media	media-service-vrev1-ctr-567df6f58-82gn2	buffer_depth	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_received	1185255
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_flushed	1185255
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_sent	1185255
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	batches_sent	4201
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_dropped	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	batches_dropped	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_deadline	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_unavailable	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_exhausted	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_canceled	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_other	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	buffer_depth	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_received	10667295
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_flushed	10667295
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_sent	10667295
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	batches_sent	22903
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_dropped	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	batches_dropped	0
