service	pod	key	value
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_received	30460
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_flushed	30460
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_sent	30460
wrk2api	wrk2api-service-vrev1-ctr-4qptj	batches_sent	2382
wrk2api	wrk2api-service-vrev1-ctr-4qptj	spans_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	batches_dropped	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_deadline	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_unavailable	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_exhausted	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_canceled	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	send_other	0
wrk2api	wrk2api-service-vrev1-ctr-4qptj	buffer_depth	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_received	2088453
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_flushed	2088453
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_sent	2088453
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	batches_sent	10287
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	spans_dropped	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	batches_dropped	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_deadline	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_unavailable	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_exhausted	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_canceled	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	send_other	0
composepost	composepost-service-vrev1-ctr-84886fbc88-wvh7c	buffer_depth	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_received	2506068
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_flushed	2506068
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_sent	2506068
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	batches_sent	6173
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	spans_dropped	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	batches_dropped	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_deadline	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_unavailable	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_exhausted	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_canceled	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	send_other	0
hometimeline	hometimeline-service-vrev1-ctr-5dddcdd697-qrz96	buffer_depth	0
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_received	208848
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_flushed	208848
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_sent	208848
media	media-service-vrev1-ctr-567df6f58-82gn2	batches_sent	1197
media	media-service-vrev1-ctr-567df6f58-82gn2	spans_dropped	0
media	media-service-vrev1-ctr-567df6f58-82gn2	batches_dropped	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_deadline	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_unavailable	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_exhausted	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_canceled	0
media	media-service-vrev1-ctr-567df6f58-82gn2	send_other	0
media	media-service-vrev1-ctr-567df6f58-82gn2	buffer_depth	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_received	208839
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_flushed	208839
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_sent	208839
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	batches_sent	1195
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	spans_dropped	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	batches_dropped	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_deadline	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_unavailable	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_exhausted	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_canceled	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	send_other	0
post-storage	post-storage-service-vrev1-ctr-7dc7588956-m9gxg	buffer_depth	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_received	1879551
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_flushed	1879551
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_sent	1879551
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	batches_sent	4250
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	spans_dropped	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	batches_dropped	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	send_deadline	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	send_unavailable	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	send_exhausted	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	send_canceled	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	send_other	0
socialgraph	socialgraph-service-vrev1-ctr-6459ccddf-2ww6q	buffer_depth	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	spans_received	626562
text	text-service-vrev1-ctr-575c7dc49-96rt6	spans_flushed	626562
text	text-service-vrev1-ctr-575c7dc49-96rt6	spans_sent	626562
text	text-service-vrev1-ctr-575c7dc49-96rt6	batches_sent	3588
text	text-service-vrev1-ctr-575c7dc49-96rt6	spans_dropped	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	batches_dropped	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	send_deadline	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	send_unavailable	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	send_exhausted	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	send_canceled	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	send_other	0
text	text-service-vrev1-ctr-575c7dc49-96rt6	buffer_depth	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	spans_received	208848
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	spans_flushed	208848
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	spans_sent	208848
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	batches_sent	1197
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	spans_dropped	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	batches_dropped	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	send_deadline	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	send_unavailable	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	send_exhausted	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	send_canceled	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	send_other	0
uniqueid	uniqueid-service-vrev1-ctr-57b54c7b6d-zlwn8	buffer_depth	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	spans_received	208848
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	spans_flushed	208848
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	spans_sent	208848
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	batches_sent	1196
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	spans_dropped	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	batches_dropped	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	send_deadline	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	send_unavailable	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	send_exhausted	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	send_canceled	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	send_other	0
urlshorten	urlshorten-service-vrev1-ctr-6664859c5f-zb87k	buffer_depth	0
user	user-service-vrev1-ctr-545679b9df-bskdx	spans_received	208848
user	user-service-vrev1-ctr-545679b9df-bskdx	spans_flushed	208848
user	user-service-vrev1-ctr-545679b9df-bskdx	spans_sent	208848
user	user-service-vrev1-ctr-545679b9df-bskdx	batches_sent	1196
user	user-service-vrev1-ctr-545679b9df-bskdx	spans_dropped	0
user	user-service-vrev1-ctr-545679b9df-bskdx	batches_dropped	0
user	user-service-vrev1-ctr-545679b9df-bskdx	send_deadline	0
user	user-service-vrev1-ctr-545679b9df-bskdx	send_unavailable	0
user	user-service-vrev1-ctr-545679b9df-bskdx	send_exhausted	0
user	user-service-vrev1-ctr-545679b9df-bskdx	send_canceled	0
user	user-service-vrev1-ctr-545679b9df-bskdx	send_other	0
user	user-service-vrev1-ctr-545679b9df-bskdx	buffer_depth	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	spans_received	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	spans_flushed	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	spans_sent	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	batches_sent	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	spans_dropped	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	batches_dropped	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	send_deadline	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	send_unavailable	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	send_exhausted	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	send_canceled	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	send_other	0
userid	userid-service-vrev1-ctr-5f87d6c55b-9mssc	buffer_depth	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	spans_received	208848
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	spans_flushed	208848
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	spans_sent	208848
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	batches_sent	1197
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	spans_dropped	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	batches_dropped	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	send_deadline	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	send_unavailable	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	send_exhausted	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	send_canceled	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	send_other	0
usermention	usermention-service-vrev1-ctr-877ccffc9-qm7l7	buffer_depth	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	spans_received	208839
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	spans_flushed	208839
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	spans_sent	208839
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	batches_sent	1196
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	spans_dropped	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	batches_dropped	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	send_deadline	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	send_unavailable	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	send_exhausted	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	send_canceled	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	send_other	0
usertimeline	usertimeline-service-vrev1-ctr-7669cf996d-h8wgq	buffer_depth	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	spans_received	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	spans_flushed	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	spans_sent	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	batches_sent	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	spans_dropped	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	batches_dropped	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	send_deadline	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	send_unavailable	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	send_exhausted	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	send_canceled	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	send_other	0
tracepressure	tracepressure-service-vrev1-ctr-ch7q5	buffer_depth	0
