pod	metric	value
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_total_alloc_bytes	1961075224
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_sent_spans	912876
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_accepted_spans	912876
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_heap_alloc_bytes	56737912
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-w6bmq	otelcol_process_memory_rss	234029056
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_incoming_items	912876
otelcol-vrev1-ctr-w6bmq	otelcol_process_uptime	742
otelcol-vrev1-ctr-w6bmq	otelcol_processor_outgoing_items	912876
otelcol-vrev1-ctr-w6bmq	otelcol_process_cpu_seconds	40
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_batch_send_size_sum	912876
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_total_sys_memory_bytes	109865240
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_batch_send_size_sum	912876
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_accepted_spans	912876
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_timeout_trigger_send	2956
otelcol-vrev1-ctr-mr6t6	otelcol_process_cpu_seconds	37
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-mr6t6	otelcol_processor_accepted_spans	176875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_sent_spans	176875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_batch_send_size_sum	176875
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_timeout_trigger_send	2942
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_accepted_spans	176875
otelcol-vrev1-ctr-mr6t6	otelcol_process_memory_rss	213237760
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_processor_incoming_items	176875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-mr6t6	otelcol_process_uptime	741
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_heap_alloc_bytes	39453192
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_batch_send_size_sum	176875
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_total_sys_memory_bytes	84224280
otelcol-vrev1-ctr-mr6t6	otelcol_processor_outgoing_items	176875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_total_alloc_bytes	637331032
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_batch_send_size_sum	913185
otelcol-vrev1-ctr-4dz97	otelcol_process_memory_rss	237453312
otelcol-vrev1-ctr-4dz97	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_processor_incoming_items	913185
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-4dz97	otelcol_processor_outgoing_items	913185
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_total_alloc_bytes	2103439920
otelcol-vrev1-ctr-4dz97	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_receiver_accepted_spans	913185
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-4dz97	otelcol_processor_accepted_spans	913185
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_timeout_trigger_send	2954
otelcol-vrev1-ctr-4dz97	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_total_sys_memory_bytes	109455640
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_heap_alloc_bytes	64762816
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-4dz97	otelcol_process_uptime	742
otelcol-vrev1-ctr-4dz97	otelcol_process_cpu_seconds	39
otelcol-vrev1-ctr-4dz97	otelcol_exporter_sent_spans	913185
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_batch_send_size_sum	913185
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_process_uptime	742
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_batch_send_size_sum	917240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_timeout_trigger_send	2951
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_accepted_spans	917240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_outgoing_items	917240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_batch_send_size_sum	917240
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_total_alloc_bytes	1988734584
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_total_sys_memory_bytes	105834776
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_heap_alloc_bytes	56641464
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-5gj4d	otelcol_processor_accepted_spans	917240
otelcol-vrev1-ctr-5gj4d	otelcol_process_cpu_seconds	40
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_sent_spans	917240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_incoming_items	917240
otelcol-vrev1-ctr-5gj4d	otelcol_process_memory_rss	237998080
otelcol-vrev1-ctr-dmjtr	otelcol_process_uptime	744
