pod	metric	value
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_total_alloc_bytes	549841088
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_sent_spans	180876
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_accepted_spans	180876
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_heap_alloc_bytes	38547608
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-w6bmq	otelcol_process_memory_rss	230293504
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_incoming_items	180876
otelcol-vrev1-ctr-w6bmq	otelcol_process_uptime	425
otelcol-vrev1-ctr-w6bmq	otelcol_processor_outgoing_items	180876
otelcol-vrev1-ctr-w6bmq	otelcol_process_cpu_seconds	14
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_queue_batch_send_size_sum	180876
otelcol-vrev1-ctr-w6bmq	otelcol_process_runtime_total_sys_memory_bytes	105244952
otelcol-vrev1-ctr-w6bmq	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_batch_send_size_sum	180876
otelcol-vrev1-ctr-w6bmq	otelcol_receiver_accepted_spans	180876
otelcol-vrev1-ctr-w6bmq	otelcol_processor_batch_timeout_trigger_send	1462
otelcol-vrev1-ctr-mr6t6	otelcol_process_cpu_seconds	16
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-mr6t6	otelcol_processor_accepted_spans	38875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_sent_spans	38875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_batch_send_size_sum	38875
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_timeout_trigger_send	1456
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_accepted_spans	38875
otelcol-vrev1-ctr-mr6t6	otelcol_process_memory_rss	212283392
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_processor_incoming_items	38875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-mr6t6	otelcol_process_uptime	424
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-mr6t6	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_heap_alloc_bytes	53262656
otelcol-vrev1-ctr-mr6t6	otelcol_processor_batch_batch_send_size_sum	38875
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_total_sys_memory_bytes	83945752
otelcol-vrev1-ctr-mr6t6	otelcol_processor_outgoing_items	38875
otelcol-vrev1-ctr-mr6t6	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-mr6t6	otelcol_process_runtime_total_alloc_bytes	251125128
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_batch_send_size_sum	181185
otelcol-vrev1-ctr-4dz97	otelcol_process_memory_rss	236904448
otelcol-vrev1-ctr-4dz97	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_processor_incoming_items	181185
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-4dz97	otelcol_processor_outgoing_items	181185
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_total_alloc_bytes	579770872
otelcol-vrev1-ctr-4dz97	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_receiver_accepted_spans	181185
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-4dz97	otelcol_processor_accepted_spans	181185
otelcol-vrev1-ctr-4dz97	otelcol_processor_batch_timeout_trigger_send	1459
otelcol-vrev1-ctr-4dz97	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_total_sys_memory_bytes	104909080
otelcol-vrev1-ctr-4dz97	otelcol_process_runtime_heap_alloc_bytes	38557896
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-4dz97	otelcol_process_uptime	424
otelcol-vrev1-ctr-4dz97	otelcol_process_cpu_seconds	14
otelcol-vrev1-ctr-4dz97	otelcol_exporter_sent_spans	181185
otelcol-vrev1-ctr-4dz97	otelcol_exporter_queue_batch_send_size_sum	181185
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_process_uptime	424
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_size	0
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_batch_send_size_sum	179240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_timeout_trigger_send	1456
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_send_failed_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_accepted_spans	179240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_outgoing_items	179240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_batch_batch_send_size_sum	179240
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_total_alloc_bytes	519402792
otelcol-vrev1-ctr-5gj4d	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_total_sys_memory_bytes	100583704
otelcol-vrev1-ctr-5gj4d	otelcol_process_runtime_heap_alloc_bytes	48949456
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-5gj4d	otelcol_processor_accepted_spans	179240
otelcol-vrev1-ctr-5gj4d	otelcol_process_cpu_seconds	14
otelcol-vrev1-ctr-5gj4d	otelcol_exporter_sent_spans	179240
otelcol-vrev1-ctr-5gj4d	otelcol_processor_incoming_items	179240
otelcol-vrev1-ctr-5gj4d	otelcol_process_memory_rss	232353792
otelcol-vrev1-ctr-dmjtr	otelcol_process_uptime	427
otelcol-vrev1-ctr-dmjtr	otelcol_receiver_refused_spans	0
otelcol-vrev1-ctr-dmjtr	otelcol_process_runtime_total_sys_memory_bytes	140253480
otelcol-vrev1-ctr-dmjtr	otelcol_process_runtime_total_alloc_bytes	823164064
otelcol-vrev1-ctr-dmjtr	otelcol_exporter_queue_capacity	1000
otelcol-vrev1-ctr-dmjtr	otelcol_receiver_failed_spans	0
otelcol-vrev1-ctr-dmjtr	otelcol_processor_incoming_items	292694
otelcol-vrev1-ctr-dmjtr	otelcol_processor_outgoing_items	292694
otelcol-vrev1-ctr-dmjtr	otelcol_process_memory_rss	232996864
otelcol-vrev1-ctr-dmjtr	otelcol_exporter_queue_batch_send_size_sum	292694
otelcol-vrev1-ctr-dmjtr	otelcol_processor_batch_batch_send_size_sum	292694
otelcol-vrev1-ctr-dmjtr	otelcol_process_cpu_seconds	16
otelcol-vrev1-ctr-dmjtr	otelcol_exporter_send_failed_spans	0
