phase	pod	status	restarts	node
pre_steady	composepost-service-vrev1-ctr-7776bbb96d-tnddf	Running	0	node-1
pre_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-w4h46	Running	0	node-1
pre_steady	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	Running	0	node-1
pre_steady	jaeger-vrev1-ctr-68b59bff55-ddfzv	Running	0	node-9
pre_steady	media-service-vrev1-ctr-b876c4f6d-bxg2l	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-4dz97	Running	0	node-8
pre_steady	otelcol-vrev1-ctr-5gj4d	Running	0	node-6
pre_steady	otelcol-vrev1-ctr-8k4jc	Running	0	node-5
pre_steady	otelcol-vrev1-ctr-dmjtr	Running	0	node-2
pre_steady	otelcol-vrev1-ctr-fvqlc	Running	0	node-3
pre_steady	otelcol-vrev1-ctr-mr6t6	Running	0	node-9
pre_steady	otelcol-vrev1-ctr-ndjxp	Running	0	node-7
pre_steady	otelcol-vrev1-ctr-vp556	Running	0	node-1
pre_steady	otelcol-vrev1-ctr-w6bmq	Running	0	node-4
pre_steady	post-cache-vrev1-ctr-b9dc74888-5xx9w	Running	0	node-6
pre_steady	post-db-vrev1-ctr-6c6dbb6df5-rkxjm	Running	0	node-6
pre_steady	post-storage-service-vrev1-ctr-959f4ff7-6s6hw	Running	0	node-6
pre_steady	social-cache-vrev1-ctr-76d6bdc48f-d97fq	Running	0	node-2
pre_steady	social-db-vrev1-ctr-6b88bf776d-4b42j	Running	0	node-2
pre_steady	socialgraph-service-vrev1-ctr-6fd7c8d78-gpqck	Running	0	node-2
pre_steady	text-service-vrev1-ctr-77bb8c98dc-b2klv	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-42svj	Running	0	node-6
pre_steady	tracepressure-service-vrev1-ctr-6dnvg	Running	0	node-3
pre_steady	tracepressure-service-vrev1-ctr-92q6n	Running	0	node-2
pre_steady	tracepressure-service-vrev1-ctr-g6c6t	Running	0	node-4
pre_steady	tracepressure-service-vrev1-ctr-jkxtd	Running	0	node-7
pre_steady	tracepressure-service-vrev1-ctr-l6ql2	Running	0	node-5
pre_steady	tracepressure-service-vrev1-ctr-vm4lq	Running	0	node-9
pre_steady	tracepressure-service-vrev1-ctr-vwwml	Running	0	node-8
pre_steady	tracepressure-service-vrev1-ctr-z47cn	Running	0	node-1
pre_steady	uniqueid-service-vrev1-ctr-77747957b4-bdj67	Running	0	node-3
pre_steady	urlshorten-db-vrev1-ctr-78c9f5d5fb-pq79m	Running	0	node-7
pre_steady	urlshorten-service-vrev1-ctr-54fb6466f7-n92dx	Running	0	node-7
pre_steady	user-cache-vrev1-ctr-59444c4559-lpg2p	Running	0	node-8
pre_steady	user-db-vrev1-ctr-5dbc47b8cb-2cjzb	Running	0	node-8
pre_steady	user-service-vrev1-ctr-788cc57598-n64r9	Running	0	node-8
pre_steady	userid-service-vrev1-ctr-6455446bc4-fnhjz	Running	0	node-5
pre_steady	usermention-service-vrev1-ctr-dc6fd6ddc-7lrpz	Running	0	node-3
pre_steady	usertimeline-cache-vrev1-ctr-5ff57cc464-6hhzc	Running	0	node-4
pre_steady	usertimeline-db-vrev1-ctr-8699f86cf5-df7dp	Running	0	node-4
pre_steady	usertimeline-service-vrev1-ctr-64494fbc5f-rgpxg	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-9lqsk	Running	0	node-1
pre_steady	wrk2api-service-vrev1-ctr-bl72c	Running	0	node-6
pre_steady	wrk2api-service-vrev1-ctr-bxlxl	Running	0	node-5
pre_steady	wrk2api-service-vrev1-ctr-g9lcn	Running	0	node-9
pre_steady	wrk2api-service-vrev1-ctr-prszb	Running	0	node-8
pre_steady	wrk2api-service-vrev1-ctr-przh7	Running	0	node-4
pre_steady	wrk2api-service-vrev1-ctr-tg595	Running	0	node-7
pre_steady	wrk2api-service-vrev1-ctr-vt7jg	Running	0	node-2
pre_steady	wrk2api-service-vrev1-ctr-w99ll	Running	0	node-3
post_steady	composepost-service-vrev1-ctr-7776bbb96d-tnddf	Running	0	node-1
post_steady	hometimeline-cache-vrev1-ctr-cf8bf45cc-w4h46	Running	0	node-1
post_steady	hometimeline-service-vrev1-ctr-6c9775f485-hl9lr	Running	0	node-1
post_steady	jaeger-vrev1-ctr-68b59bff55-ddfzv	Running	0	node-9
post_steady	media-service-vrev1-ctr-b876c4f6d-bxg2l	Running	0	node-5
post_steady	otelcol-vrev1-ctr-4dz97	Running	0	node-8
post_steady	otelcol-vrev1-ctr-5gj4d	Running	0	node-6
post_steady	otelcol-vrev1-ctr-8k4jc	Running	0	node-5
post_steady	otelcol-vrev1-ctr-dmjtr	Running	0	node-2
post_steady	otelcol-vrev1-ctr-fvqlc	Running	0	node-3
post_steady	otelcol-vrev1-ctr-mr6t6	Running	0	node-9
post_steady	otelcol-vrev1-ctr-ndjxp	Running	0	node-7
post_steady	otelcol-vrev1-ctr-vp556	Running	0	node-1
post_steady	otelcol-vrev1-ctr-w6bmq	Running	0	node-4
post_steady	post-cache-vrev1-ctr-b9dc74888-5xx9w	Running	0	node-6
post_steady	post-db-vrev1-ctr-6c6dbb6df5-rkxjm	Running	0	node-6
post_steady	post-storage-service-vrev1-ctr-959f4ff7-6s6hw	Running	0	node-6
post_steady	social-cache-vrev1-ctr-76d6bdc48f-d97fq	Running	0	node-2
post_steady	social-db-vrev1-ctr-6b88bf776d-4b42j	Running	0	node-2
post_steady	socialgraph-service-vrev1-ctr-6fd7c8d78-gpqck	Running	0	node-2
post_steady	text-service-vrev1-ctr-77bb8c98dc-b2klv	Running	0	node-5
post_steady	tracepressure-service-vrev1-ctr-42svj	Running	0	node-6
post_steady	tracepressure-service-vrev1-ctr-6dnvg	Running	0	node-3
post_steady	tracepressure-service-vrev1-ctr-92q6n	Running	0	node-2
post_steady	tracepressure-service-vrev1-ctr-g6c6t	Running	0	node-4
post_steady	tracepressure-service-vrev1-ctr-jkxtd	Running	0	node-7
post_steady	tracepressure-service-vrev1-ctr-l6ql2	Running	0	node-5
post_steady	tracepressure-service-vrev1-ctr-vm4lq	Running	0	node-9
post_steady	tracepressure-service-vrev1-ctr-vwwml	Running	0	node-8
post_steady	tracepressure-service-vrev1-ctr-z47cn	Running	0	node-1
post_steady	uniqueid-service-vrev1-ctr-77747957b4-bdj67	Running	0	node-3
post_steady	urlshorten-db-vrev1-ctr-78c9f5d5fb-pq79m	Running	0	node-7
post_steady	urlshorten-service-vrev1-ctr-54fb6466f7-n92dx	Running	0	node-7
post_steady	user-cache-vrev1-ctr-59444c4559-lpg2p	Running	0	node-8
post_steady	user-db-vrev1-ctr-5dbc47b8cb-2cjzb	Running	0	node-8
post_steady	user-service-vrev1-ctr-788cc57598-n64r9	Running	0	node-8
post_steady	userid-service-vrev1-ctr-6455446bc4-fnhjz	Running	0	node-5
post_steady	usermention-service-vrev1-ctr-dc6fd6ddc-7lrpz	Running	0	node-3
post_steady	usertimeline-cache-vrev1-ctr-5ff57cc464-6hhzc	Running	0	node-4
post_steady	usertimeline-db-vrev1-ctr-8699f86cf5-df7dp	Running	0	node-4
post_steady	usertimeline-service-vrev1-ctr-64494fbc5f-rgpxg	Running	0	node-4
post_steady	wrk2api-service-vrev1-ctr-9lqsk	Running	0	node-1
post_steady	wrk2api-service-vrev1-ctr-bl72c	Running	0	node-6
post_steady	wrk2api-service-vrev1-ctr-bxlxl	Running	0	node-5
post_steady	wrk2api-service-vrev1-ctr-g9lcn	Running	0	node-9
post_steady	wrk2api-service-vrev1-ctr-prszb	Running	0	node-8
post_steady	wrk2api-service-vrev1-ctr-przh7	Running	0	node-4
post_steady	wrk2api-service-vrev1-ctr-tg595	Running	0	node-7
post_steady	wrk2api-service-vrev1-ctr-vt7jg	Running	0	node-2
post_steady	wrk2api-service-vrev1-ctr-w99ll	Running	0	node-3
