step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1992.46	19.18ms	53.60ms	0
2200	2195.52	20.57ms	60.93ms	0
2400	2368.21	17.93ms	66.18ms	0
2600	2569.91	18.92ms	50.08ms	0
2800	2789.09	32.20ms	103.87ms	0
3000	2952.27	37.25ms	94.14ms	0
3200	3153.67	32.56ms	71.61ms	0
3400	3349.14	39.34ms	129.92ms	0
3600	3530.74	132.23ms	357.12ms	0
3800	3751.61	73.79ms	242.82ms	0
4000	3907.70	364.87ms	806.40ms	0
4200	3445.86	2.44s	5.16s	0
4400	3706.26	3.76s	4.67s	0
4600	4031.61	2.32s	3.53s	0
4800	3832.12	4.44s	5.81s	0
5000	3416.38	6.66s	9.27s	0
