step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1995.95	16.51ms	44.35ms	0
2200	2197.18	15.38ms	56.58ms	0
2400	2363.27	32.79ms	72.45ms	0
2600	2578.14	26.62ms	56.16ms	0
2800	2784.03	26.46ms	59.94ms	0
3000	2955.44	34.68ms	76.16ms	0
3200	3148.83	84.15ms	188.29ms	0
3400	3354.08	83.88ms	178.56ms	0
3600	3548.81	144.30ms	237.95ms	0
3800	3750.00	97.72ms	271.87ms	0
4000	3815.33	1.43s	1.85s	0
4200	3959.91	795.94ms	1.70s	0
4400	3894.71	2.96s	3.53s	0
4600	3984.37	2.32s	3.66s	0
4800	3840.32	4.45s	5.72s	0
5000	3627.15	5.55s	8.10s	0
