step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1996.68	12.19ms	43.07ms	0
2200	2194.15	14.23ms	44.80ms	0
2400	2369.88	23.98ms	58.27ms	0
2600	2580.17	24.65ms	52.58ms	0
2800	2783.56	17.74ms	42.94ms	0
3000	2954.43	31.71ms	73.86ms	0
3200	3151.68	41.99ms	82.69ms	0
3400	3350.17	47.47ms	103.23ms	0
3600	3548.43	65.76ms	127.29ms	0
3800	3748.13	108.17ms	297.47ms	0
4000	3933.49	365.10ms	938.49ms	0
4200	4116.48	734.48ms	1.49s	0
4400	4166.09	1.63s	2.60s	0
4600	4153.16	2.18s	3.78s	0
4800	3976.12	3.13s	5.11s	0
5000	3628.01	5.44s	8.31s	0
5200	3738.02	5.37s	8.32s	0
5400	3633.10	5.89s	9.50s	0
5600	3608.71	6.65s	10.08s	0
5800	3449.37	7.70s	11.78s	0
6000	3359.80	8.56s	12.76s	0
