step_rps	achieved_rps	mean_ms	p99_ms	non_2xx
2000	1995.86	14.67ms	45.50ms	0
2200	2194.87	22.19ms	59.46ms	0
2400	2368.98	25.46ms	60.29ms	0
2600	2570.24	29.13ms	74.69ms	0
2800	2789.37	29.08ms	67.90ms	0
3000	2952.22	35.66ms	80.00ms	0
3200	3149.44	74.30ms	168.06ms	0
3400	3349.10	93.39ms	230.65ms	0
3600	3548.18	131.81ms	211.71ms	0
3800	3674.75	238.17ms	929.28ms	0
4000	3675.41	2.01s	3.04s	0
4200	3921.29	1.19s	2.19s	0
4400	3815.92	3.16s	4.38s	0
4600	3657.86	4.34s	6.27s	0
4800	3812.61	4.53s	6.30s	0
5000	3624.06	5.33s	8.17s	0
5200	3701.93	5.73s	8.52s	0
5400	3498.76	6.80s	9.98s	0
5600	3486.12	7.06s	10.79s	0
5800	3416.34	8.17s	11.91s	0
6000	3379.55	8.49s	12.62s	0
