kind,reverse,offered_rps,rounds,usable_pct_mean,usable_pct_min,usable_pct_max,achieved_rps,spans_present_per_trace,intact_pct,ckpt_lost_traces,traces,scored
v,,500,5,100,100,100,499.5,23.0,100,0,500,500
v,,1000,5,100,100,100,998.3,23.0,100,0,500,500
v,,1500,5,100,100,100,1497.0,23.0,100,0,500,500
v,,2000,5,100,100,100,1994.1,23.0,100,0,500,500
v,,2500,5,100,100,100,2486.5,23.0,100,0,500,500
v,,3000,5,100,100,100,2951.3,23.0,100,0,500,500
v,,3500,5,100,100,100,3454.0,23.0,100,0,500,500
v,,4000,5,100,100,100,3965.5,23.0,100,0,500,500
v,,4500,5,100,100,100,4462.3,23.0,100,0,500,500
v,,5000,5,100,100,100,4958.3,23.0,100,0,500,500
v,,5500,5,100,100,100,5427.4,23.0,100,0,500,500
v,,6000,5,100,100,100,5877.6,23.0,100,0,500,500
v,,6500,5,60,0,100,6300.5,19.8,60,0,500,500
v,,7000,5,20,0,100,6781.0,16.2,20,0,500,500
v,,7500,5,0,0,0,7425.0,12.0,0,0,500,500
v,,8000,5,20,0,100,7936.4,13.4,20,0,500,500
v,,8500,5,0,0,0,8428.1,11.8,0,0,500,500
v,,9000,5,0,0,0,8830.2,10.0,0,0,500,500
v,,9500,5,0,0,0,8885.8,12.15,0,0,500,500
v,,10000,5,0,0,0,8889.2,10.5,0,0,500,500
v,,10500,5,0,0,0,8909.3,8.2,0,0,500,500
v,,11000,5,0,0,0,8906.8,9.65,0,0,500,500
v,,11500,5,0,0,0,8893.7,10.2,0,0,500,500
v,,12000,5,0,0,0,8973.4,8.45,0,0,500,500
v,,12500,5,0,0,0,8950.3,6.93,0,0,500,500
v,,13000,5,0,0,0,8918.2,11.57,0,0,500,500
v,,13500,5,0,0,0,8933.9,7.64,0,0,500,500
v,,14000,5,0,0,0,8969.1,9.2,0,0,500,500
pb,off,500,5,100,100,100,499.6,23.0,100,0,500,500
pb,off,1000,5,100,100,100,998.2,23.0,100,0,500,500
pb,off,1500,5,100,100,100,1496.3,23.0,100,0,500,500
pb,off,2000,5,100,100,100,1993.5,23.0,100,0,500,500
pb,off,2500,5,100,100,100,2483.6,23.0,100,0,500,500
pb,off,3000,5,100,100,100,2952.1,23.0,100,0,500,500
pb,off,3500,5,100,100,100,3454.9,23.0,100,0,500,500
pb,off,4000,5,100,100,100,3965.5,23.0,100,0,500,500
pb,off,4500,5,100,100,100,4460.7,23.0,100,0,500,500
pb,off,5000,5,100,100,100,4951.4,23.0,100,0,500,500
pb,off,5500,5,100,100,100,5425.8,23.0,100,0,500,500
pb,off,6000,5,100,100,100,5876.3,23.0,100,0,500,500
pb,off,6500,5,100,100,100,6298.9,20.86,80,0,500,500
pb,off,7000,5,100,100,100,6780.0,12.47,0,0,500,500
pb,off,7500,5,71.8,47,100,7422.9,9.69,0,72,500,500
pb,off,8000,5,89.8,58,100,7681.4,11.5,0,36,500,500
pb,off,8500,5,100,100,100,7751.5,13.85,20,0,500,500
pb,off,9000,5,72.6,20,100,7740.6,12.34,0,74,500,500
pb,off,9500,5,88.4,42,100,7778.6,12.78,20,33,500,500
pb,off,10000,5,67.4,22,100,7777.4,10.19,0,83,500,500
pb,off,10500,5,93.4,67,100,7757.7,11.21,0,14,349,349
pb,off,11000,5,79.8,48,100,7747.9,11.28,0,59,500,500
pb,off,11500,5,88.2,45,100,7774.6,11.35,0,38,500,500
pb,off,12000,5,100,100,100,7760.2,11.55,0,0,500,500
pb,off,12500,5,88.8,44,100,7721.8,15.59,21.4,27,500,500
pb,off,13000,5,100,100,100,7749.3,13.34,0,0,500,500
pb,off,13500,5,92.6,63,100,7791.4,12.2,0,16,500,500
pb,off,14000,5,100,100,100,7770.6,14.53,13.6,0,500,500
pb,on,500,5,100,100,100,499.6,23.0,100,0,500,500
pb,on,1000,5,100,100,100,996.9,23.0,100,0,500,500
pb,on,1500,5,100,100,100,1496.0,23.0,100,0,500,500
pb,on,2000,5,100,100,100,1993.5,23.0,100,0,500,500
pb,on,2500,5,100,100,100,2488.3,23.0,100,0,500,500
pb,on,3000,5,100,100,100,2942.9,23.0,100,0,500,500
pb,on,3500,5,100,100,100,3450.9,23.0,100,0,500,500
pb,on,4000,5,92,60,100,3967.7,21.88,80,0,500,500
pb,on,4500,5,78.6,62,100,4461.8,19.85,40,0,500,500
pb,on,5000,5,63.2,52,71,4956.8,17.81,5.6,0,500,500
pb,on,5500,5,59.4,55,63,5427.5,17.4,0,0,500,500
pb,on,6000,5,67,61,77,5876.1,17.45,0,0,500,500
pb,on,6500,5,63.4,60,65,6297.1,17.47,0,0,500,500
pb,on,7000,5,67.4,62,76,6779.7,17.49,0,0,500,500
pb,on,7500,5,62.6,58,67,7272.1,17.36,0,0,500,500
pb,on,8000,5,52.25,3.23,72,7266.8,15.71,0,7,500,462
pb,on,8500,5,56.26,19.28,75,7315.3,13.53,0,1,500,399
pb,on,9000,5,47.71,8.82,68,7322.5,12.77,0,3,500,376
pb,on,9500,5,35.38,2.94,65.22,7332.1,11.41,0,9,500,331
pb,on,10000,5,54.83,39,73,7403.8,14.62,0,0,500,438
pb,on,10500,5,39.75,18,47,7326.1,13.77,0,6,500,438
pb,on,11000,5,28.22,2.94,60,7337.5,10.12,0,13,500,312
pb,on,11500,5,49.03,35.05,64.52,7390.4,12.71,0,0,500,450
pb,on,12000,5,41.54,2.7,58,7365.4,13.56,0,4,500,437
pb,on,12500,5,48.29,33,89.74,7343.9,13.49,0,0,500,409
pb,on,13000,5,38.1,5.26,59,7341.3,12.92,0,3,500,381
pb,on,13500,5,46.7,18.92,90.91,7347.5,11.74,0,6,500,339
pb,on,14000,5,43.68,36,60,7314.7,14.13,0,0,500,494
cgpb,off,500,5,100,100,100,499.6,23.0,100,0,500,500
cgpb,off,1000,5,100,100,100,996.9,23.0,100,0,500,500
cgpb,off,1500,5,100,100,100,1497.0,23.0,100,0,500,500
cgpb,off,2000,5,100,100,100,1994.4,23.0,100,0,500,500
cgpb,off,2500,5,100,100,100,2486.9,23.0,100,0,500,500
cgpb,off,3000,5,100,100,100,2951.9,23.0,100,0,500,500
cgpb,off,3500,5,100,100,100,3454.4,23.0,100,0,500,500
cgpb,off,4000,5,100,100,100,3967.9,23.0,100,0,500,500
cgpb,off,4500,5,100,100,100,4462.0,23.0,100,0,500,500
cgpb,off,5000,5,100,100,100,4955.3,23.0,100,0,500,500
cgpb,off,5500,5,100,100,100,5427.2,23.0,100,0,500,500
cgpb,off,6000,5,100,100,100,5876.0,23.0,100,0,500,500
cgpb,off,6500,5,100,100,100,6297.9,17.81,40,0,500,500
cgpb,off,7000,5,100,100,100,6779.1,16.03,31.6,0,500,500
